,,Employee Openings ,,,,,,,,,,,,
,,Actual,,,,,,Forecast ,,,,,,
City ,State,January,February,March,April,May,June,July,August,September,October,November,December,Average
Albany,NY,8,1,1,6,3,0,1,4,3,5,5,8,3.8
Atlanta,GA,5,7,2,6,4,5,1,2,2,1,2,8,3.8
"Bensonhurst, New York City ",NY,7,5,7,5,5,5,7,4,4,7,4,3,5.3
Boston ,MA,4,5,7,1,6,0,7,6,1,4,3,4,4.0
Buffalo,NY,6,7,3,4,4,8,0,1,5,8,1,3,4.2
Ft Lauderdale,FL,6,3,6,0,4,1,2,5,3,3,6,6,3.8
"Manhattan, New York City ",NY,0,4,7,3,8,5,1,8,2,0,2,0,3.3
Orlando,FL,1,2,4,5,2,8,5,1,4,1,7,7,3.9
Philadelphia,PA,2,2,8,4,3,2,3,0,8,8,5,3,4.0
Pittsburgh ,PA,8,1,6,7,4,0,7,4,4,6,7,0,4.5
"Queens, New York City ",NY,4,6,7,4,3,0,3,2,2,6,5,7,4.1
Raleigh,NC,2,0,0,8,0,1,7,6,0,5,6,0,2.9
Richmond,VA,4,5,2,2,6,2,4,4,1,1,3,8,3.5
Savannah,GA,4,6,5,5,3,5,7,2,0,0,3,8,4.0
"Staten Island, New York City ",NY,4,3,6,2,5,8,4,2,0,4,5,7,4.2
"Williamsburg, New York City ",NY,7,0,0,5,2,6,4,7,8,8,4,3,4.5
Wilmington ,NC,4,4,8,3,7,7,8,6,3,1,8,1,5.0
Total,,76,61,79,70,69,63,71,64,50,68,76,76,